model,mode,max_turns,max_sessions,max_tokens,start_iso,end_iso,window_seconds,llm_gateway_requests_total_rate_per_s,llm_gateway_estimated_gpu_cost_usd_total_increase,llm_gateway_time_to_first_token_seconds_p50,llm_gateway_time_to_first_token_seconds_p95,llm_gateway_time_per_output_token_seconds_p50,llm_gateway_time_per_output_token_seconds_p95,llm_gateway_stream_inter_chunk_delay_seconds_p95,llm_gateway_stream_inter_chunk_delay_observations_per_s,llm_gateway_prompt_tokens_total_increase,llm_gateway_completion_tokens_total_increase,llm_gateway_prompt_tokens_total_rate_per_s,llm_gateway_completion_tokens_total_rate_per_s,llm_gateway_completion_tokens_per_second_p50,llm_gateway_completion_tokens_per_second_p95,llm_gateway_cost_per_total_token_usd,llm_gateway_cost_per_completion_token_usd,llm_gateway_request_duration_seconds_p50,llm_gateway_request_duration_seconds_p95,llm_gateway_request_duration_seconds_p99,vllm_kv_cache_usage_perc_avg,vllm_kv_cache_usage_perc_max,vllm_prefix_cache_hits,vllm_prefix_cache_queries,vllm_prefix_cache_hit_rate,vllm_request_prefill_time_seconds_p50,vllm_request_prefill_time_seconds_p99,vllm_inter_token_latency_seconds_p50,vllm_inter_token_latency_seconds_p99,vllm_time_to_first_token_seconds_p50,vllm_time_to_first_token_seconds_p95,vllm_time_to_first_token_seconds_p99,vllm_generation_tokens_total_rate_per_s,vllm_num_requests_running_min,vllm_num_requests_running_max,vllm_num_requests_running_avg,vllm_num_requests_waiting_min,vllm_num_requests_waiting_max,vllm_num_requests_waiting_avg,vllm_num_requests_waiting_capacity_avg,vllm_num_requests_waiting_deferred_avg,vllm_request_queue_time_seconds_min,vllm_request_queue_time_seconds_avg,vllm_request_queue_time_seconds_max,vllm_e2e_request_latency_seconds_p50,vllm_e2e_request_latency_seconds_p95,vllm_e2e_request_latency_seconds_p99,vllm_request_max_num_generation_tokens_p50,vllm_request_max_num_generation_tokens_p95,vllm_request_params_max_tokens_p50,vllm_request_params_max_tokens_p95,vllm_request_params_n_p50,vllm_request_params_n_p95,vllm_kv_block_idle_before_evict_seconds_p50,vllm_kv_block_idle_before_evict_seconds_p95,vllm_kv_block_lifetime_seconds_p50,vllm_kv_block_lifetime_seconds_p95,vllm_kv_block_reuse_gap_seconds_p50,vllm_kv_block_reuse_gap_seconds_p95,vllm_spec_decode_accepted_tokens_total_increase,vllm_spec_decode_draft_tokens_total_increase,vllm_spec_decode_accepted_tokens_rate_per_s,vllm_spec_decode_draft_tokens_rate_per_s,vllm_spec_decode_accepted_over_draft_rate,vllm_spec_decode_draft_acceptance_rate,count,min,p25,p50,p75,p95,p99,max,mean
q35_4b,base-conv,16,16,1024,2026-05-18T21:29:43.401848+00:00,2026-05-18T21:35:41.851465+00:00,358,0.798162545542871,1.699724676657061,0.0008492093587412474,0.002025351866790377,9.699817226958646e-05,0.00013566880927229588,0.049301987437906224,466.65823819933615,266006.8950028985,166492.16489275362,743.036019561169,465.06191310825034,34.60874339745376,48.460874339745374,3.93000779485428e-06,1.020903703037283e-05,0.05218264297437552,0.15605625312425317,0.16528946291535346,0.1222744483614049,0.16216216216216217,0.0,0.0,,0.17647058823529407,0.6199999999999993,0.03343591774692514,0.15060792951541777,0.233125,0.4857712765957446,0.6554166666666665,476.6831213617093,3.0,16.0,13.304347826086957,0.0,0.0,0.0,0.0,0.0,0.003,0.15,0.297,16.304347826086957,31.428571428571423,38.285714285714285,598.4848484848485,1820.8955223880596,1500.0,1949.9999999999998,0.5,0.9499999999999998,,,,,,,,,,,,,275,6.0,205.5,588.0,1024.0,1024.0,1024.0,1024.0,576.8072727272727
q35_4b,base-conv,16,32,1024,2026-05-18T21:45:06.227980+00:00,2026-05-18T21:49:52.998354+00:00,286,0.9894067324695928,2.189682199985823,0.001344262300214921,0.009277675827915525,0.00012256632274204615,0.00017062326592838569,0.08084305395845362,570.8156275456864,263454.5490933199,162687.32882709373,921.1697520745452,568.8368140807473,34.10762396164039,48.41076239616404,5.138387737604068e-06,1.3459451426072932e-05,0.08252570748791278,0.19706375955998007,0.20724491974416387,0.18911016279437334,0.2927927927927928,0.0,0.0,,0.20192307692307693,0.9485714285714285,0.03678201306338627,0.21733333333333202,0.29793233082706766,2.658333333333332,4.531666666666666,586.5357550258515,1.0,32.0,21.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0032307692307692306,0.16153846153846152,2.666666666666665,21.176470588235293,46.58536585365854,49.3170731707317,582.089552238806,1833.3333333333333,1500.0,1950.0,0.5,0.95,,,,,,,,,,,,,277,6.0,177.0,557.0,1024.0,1024.0,1024.0,1024.0,568.2960288808664
q35_4b,base-conv,16,64,1024,2026-05-18T21:50:40.476898+00:00,2026-05-18T21:55:07.406451+00:00,266,1.0588152249786276,2.6823334948233795,0.001688805527595193,0.017063303626075103,0.0001605784207128088,0.0003482654908112795,0.09799859335276326,626.7138608908447,262944.616026541,166140.94984353063,988.5135940847406,624.5900370057542,23.7012987012987,47.37012987012987,6.251278784883661e-06,1.6144926927103558e-05,0.1000784929356358,0.21301536809055607,0.22305420143766005,0.2406573239906573,0.4924924924924925,0.0,0.0,,0.29068965517241374,1.0316666666666667,0.0369537969565537,0.2684973214285711,0.4067028985507246,4.612179487179486,6.621875,646.7088880610185,0.0,60.0,27.61111111111111,0.0,7.0,0.3888888888888889,0.3888888888888889,0.0,0.003849315068493151,0.19246575342465755,4.810135135135135,24.270833333333332,55.98571428571428,59.19714285714286,597.8260869565217,1834.705882352941,1500.0,1950.0,0.5,0.95,,,,,,,,,,,,,256,8.0,198.5,540.5,1014.25,1024.0,1024.0,1024.0,559.52734375
q35_4b,base-conv,16,64,2048,2026-05-18T22:04:20.076272+00:00,2026-05-18T22:10:42.438072+00:00,382,0.7222101853857992,3.24043195882072,0.0011779338390396437,0.011265117042380198,0.00010561473753138958,0.0002371964292558918,0.17851767333665744,546.5685924431801,266040.0885651906,208217.9811336478,696.440022421965,545.0732490409628,24.838709677419356,47.483870967741936,6.832634310004355e-06,1.556269031703271e-05,0.08587894082639648,0.15706806282722513,0.15706806282722513,0.2171171171171171,0.48948948948948945,0.0,0.0,,0.2076923076923077,0.8380000000000021,0.035070520600793256,0.21992959878879612,0.3475609756097561,0.6107142857142853,0.8524999999999995,549.391117876468,1.0,64.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0030955414012738855,0.15477707006369426,4.1899999999999995,29.375,101.3076923076923,116.26153846153846,796.2962962962964,3784.9999999999995,3500.0,4850.0,0.5,0.95,,,,,,,,,,,,,270,6.0,207.5,620.0,1138.5,2048.0,2048.0,2048.0,740.2444444444444
q35_4b,base-conv,2,32,1024,2026-05-18T22:12:14.536028+00:00,2026-05-18T22:14:16.891358+00:00,122,1.0192718737187498,1.0166151818940692,0.0030702794637100356,0.03274057681833937,0.0002867814601728458,0.00039934095382125053,0.060406239167323565,660.7949964854911,70919.81807272519,80368.28723404257,581.3099842026655,658.7564527380538,34.264860897220004,48.426486089722,6.719729748962569e-06,1.2649456855209044e-05,0.20992455683137276,0.4636154065028094,0.4861657042513816,0.16535285285285284,0.2807807807807807,0.0,0.0,,0.19887640449438204,0.9948571428571429,0.035817367601246104,0.131924821002386,0.23911290322580647,4.041666666666666,4.808333333333334,609.9291455563598,0.0,32.0,20.125,0.0,0.0,0.0,0.0,0.0,0.0036122448979591837,0.18061224489795918,4.41,24.28571428571429,39.34090909090909,46.06666666666667,791.6666666666667,1917.0212765957447,1517.5438596491229,1983.3333333333333,0.5,0.95,,,,,,,,,,,,,109,3.0,212.0,743.0,1024.0,1024.0,1024.0,1024.0,637.3853211009174
q35_4b,dflash-2,16,16,1024,2026-05-23T21:47:01.219228+00:00,2026-05-23T21:52:33.533420+00:00,332,0.8580572289156626,1.6547238349052011,0.0010161662661419281,0.003778876975793086,0.00016786259256138775,0.00028787059660553637,0.09507779072726048,266.1738704819277,262833.60000000003,163754.30000000002,791.6674698795182,493.23584337349405,35.044519860616425,49.32666219877159,3.8789750832248195e-06,1.0104918374083617e-05,0.050823563387274916,0.16773295874836602,0.17812490500268527,0.44887134575058596,0.5495251017639078,0.0,0.0,,0.19328358208955224,0.6890000000000003,0.038591361241470654,0.19830861244019146,0.275390625,0.48984374999999997,0.6628571428571427,507.084205966724,1.0,16.0,13.863636363636363,0.0,0.0,0.0,0.0,0.0,0.003,0.15,0.297,15.642857142857142,33.52499999999999,38.705,552.4193548387098,1824.9999999999998,1500.0,1950.0,0.5,0.9500000000000001,,,,,,,78457.71666666667,179516.18117460317,236.31842369477914,540.7113890801301,0.4370509452312613,,412,0.0,172.0,498.5,1024.0,1024.0,1024.0,1024.0,547.0364077669902
q35_4b,dflash-2,16,32,1024,2026-05-23T21:52:26.109365+00:00,2026-05-23T21:57:09.426577+00:00,283,1.039052034967807,2.481339214521672,0.0018170619020587862,0.013743052164305504,0.0002574128364254721,0.0003443846985357153,0.19184286835672254,325.7465134972167,273468.79865724436,171940.5246550953,966.3208433118175,607.5636913607608,31.755835023862872,49.17239493880698,5.570918893365088e-06,1.4431380964430132e-05,0.0909180040796802,0.19990452125602454,0.2095922116716996,0.7666214382632294,0.9932157394843962,0.0,0.0,,0.2837837837837837,0.9771428571428565,0.06320105679716166,0.265214434710054,0.46799999999999997,3.7499999999999982,4.75,593.2918349207757,1.0,32.0,23.61111111111111,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.004397905759162303,0.21989528795811517,4.63157894736842,22.17391304347826,48.0,52.999999999999986,607.1428571428571,1835.2941176470588,1500.0,1950.0,0.5,0.95,,,,,,,78511.73209136205,178537.54965897484,277.4266151638235,630.8747337772962,0.43974912975633174,,270,6.0,206.25,580.0,1024.0,1024.0,1024.0,1024.0,584.0222222222222
q35_4b,dflash-2,16,64,1024,2026-05-23T21:57:02.465633+00:00,2026-05-23T22:01:36.021477+00:00,273,1.0684368550632573,3.2146472010010108,0.01765161644252811,0.16332388273831017,0.000268580149330083,0.00035975044519796794,0.20001506039603367,328.66161557740503,271621.6983606557,166130.30517687663,994.9512760463579,608.5359163988155,17.208123439298447,49.02896609567309,7.343535095266311e-06,1.935015527467081e-05,0.11812295593213923,0.21974598747177249,0.21978021978021978,0.7722749886928991,0.9972862957937585,0.0,0.0,,0.32123893805309733,0.9754285714285714,0.06301007732679109,0.2705549295774648,4.778225806451613,30.241379310344815,38.04827586206896,619.3514734604554,1.0,35.0,24.27777777777778,0.0,29.0,8.0,8.0,0.0,0.013,4.528301886792453,37.4,29.761904761904763,59.9032258064516,107.74285714285712,567.5675675675675,1818.9873417721517,1500.0,1950.0,0.5,0.95,,,,,,,78534.42257763415,180814.39967369733,287.67187757375143,662.3238083285617,0.4343372138466822,,272,6.0,211.0,561.0,1024.0,1024.0,1024.0,1024.0,567.8786764705883
q35_4b,dflash-2,16,64,2048,2026-05-23T22:01:31.341056+00:00,2026-05-23T22:07:38.970064+00:00,367,0.7855163538127977,3.9779685636369426,0.0267083929101357,0.1434703391221562,0.00019900824139237135,0.0002661230563435907,0.1840825883552709,297.3462316571344,267612.15613224497,204787.15414091753,729.188436327643,558.0031447981404,16.504424778761063,48.761627906976734,8.420775553920056e-06,1.9424893032595368e-05,0.10289688799655815,0.16348773841961853,0.16348773841961853,0.7208276797829037,0.9972862957937585,0.0,0.0,,0.321505376344086,0.7769999999999997,0.06156370542391561,0.2687799367374604,6.458333333333333,18.26595744680851,19.653191489361703,552.1699455836076,2.0,33.0,21.541666666666668,0.0,30.0,8.166666666666666,8.166666666666666,0.0,0.016941176470588234,7.555555555555555,40.4,33.33333333333333,107.67567567567565,124.79999999999997,666.6666666666666,3199.999999999996,3500.0,4850.0,0.5,0.95,,,,,,,95465.57445374758,214065.08201451853,260.1241810728817,583.2836022193966,0.44596518757446313,,269,6.0,204.0,545.0,1097.0,2048.0,2048.0,2048.0,710.7100371747212
q35_4b,dflash-2,2,32,1024,2026-05-23T22:07:33.544944+00:00,2026-05-23T22:09:31.560952+00:00,118,0.9703389830508474,0.998209212987871,0.003777068537318635,0.036222845547863446,0.0006265989766549409,0.0008325671570195076,0.12103034737243976,335.91031073446334,65103.24999999999,74127.16666666666,551.7224576271186,628.1963276836158,33.483653964948786,48.34836539649488,7.169476590576445e-06,1.346617249619961e-05,0.2253884254666073,0.48016596119072846,0.5028128532550948,0.7943399883698391,0.989145183175034,0.0,0.0,,0.2954081632653061,1.017499999999996,0.05959296185205526,0.24833260073260055,0.4110169491525424,4.928571428571428,8.53333333333332,668.1207686440679,10.0,32.0,26.428571428571427,0.0,2.0,0.2857142857142857,0.2857142857142857,0.0,0.005567307692307692,0.27836538461538457,10.17499999999996,28.03571428571428,71.74999999999999,110.35,772.2222222222222,2368.1818181818116,1927.8846153846152,4674.7191011235955,0.5,0.95,,,,,,,36795.0022,84005.6338,311.8220525423729,711.9121508474576,0.4380063638065189,,113,19.0,298.0,882.0,1024.0,1024.0,1024.0,1024.0,670.0265486725664
